"Device ID" "Device Name" "Received At" Temperature Humidity
A84041274A59D771 EMAP_322 "2025-01-24 07:05:00" 18.80 57.7
A84041274A59D771 EMAP_322 "2025-01-24 07:10:00" 18.86 58.1
A84041274A59D771 EMAP_322 "2025-01-24 07:15:00" 18.89 57.1
A84041274A59D771 EMAP_322 "2025-01-24 07:20:00" 18.93 57.1
A84041274A59D771 EMAP_322 "2025-01-24 07:25:00" 18.95 56.4
A84041274A59D771 EMAP_322 "2025-01-24 07:30:00" 19.01 55.6
A84041274A59D771 EMAP_322 "2025-01-24 07:35:00" 19.05 55.4
A84041274A59D771 EMAP_322 "2025-01-24 07:40:00" 19.11 54.7
A84041274A59D771 EMAP_322 "2025-01-24 07:45:00" 19.18 54.8
A84041274A59D771 EMAP_322 "2025-01-24 07:50:00" 19.22 54.6
A84041274A59D771 EMAP_322 "2025-01-24 07:55:00" 19.28 54.6
A84041274A59D771 EMAP_322 "2025-01-24 08:00:00" 19.32 54.0
A84041274A59D771 EMAP_322 "2025-01-24 08:05:00" 19.35 53.5
A84041274A59D771 EMAP_322 "2025-01-24 08:10:00" 19.39 53.2
A84041274A59D771 EMAP_322 "2025-01-24 08:15:00" 19.42 52.7
A84041274A59D771 EMAP_322 "2025-01-24 08:20:00" 19.44 52.5
A84041274A59D771 EMAP_322 "2025-01-24 08:25:00" 19.50 52.7
A84041274A59D771 EMAP_322 "2025-01-24 08:30:00" 19.56 52.7
A84041274A59D771 EMAP_322 "2025-01-24 08:35:00" 19.63 52.7
A84041274A59D771 EMAP_322 "2025-01-24 08:40:00" 19.66 53.0
A84041274A59D771 EMAP_322 "2025-01-24 08:45:00" 19.72 52.7
A84041274A59D771 EMAP_322 "2025-01-24 08:50:00" 19.76 53.3
A84041274A59D771 EMAP_322 "2025-01-24 08:55:00" 19.79 52.9
A84041274A59D771 EMAP_322 "2025-01-24 09:00:00" 19.74 51.9
A84041274A59D771 EMAP_322 "2025-01-24 09:05:00" 19.72 50.8
A84041274A59D771 EMAP_322 "2025-01-24 09:10:00" 19.76 51.4
A84041274A59D771 EMAP_322 "2025-01-24 09:15:00" 19.83 51.5
A84041274A59D771 EMAP_322 "2025-01-24 09:20:00" 19.90 51.9
A84041274A59D771 EMAP_322 "2025-01-24 09:25:00" 19.94 53.3
A84041274A59D771 EMAP_322 "2025-01-24 09:30:00" 20.04 53.1
A84041274A59D771 EMAP_322 "2025-01-24 09:35:00" 20.10 52.2
A84041274A59D771 EMAP_322 "2025-01-24 09:40:00" 20.15 51.5
A84041274A59D771 EMAP_322 "2025-01-24 09:45:00" 20.15 51.2
A84041274A59D771 EMAP_322 "2025-01-24 09:50:00" 20.20 51.1
A84041274A59D771 EMAP_322 "2025-01-24 09:55:00" 20.27 50.8
A84041274A59D771 EMAP_322 "2025-01-24 10:00:00" 20.28 50.5
A84041274A59D771 EMAP_322 "2025-01-24 10:05:00" 20.34 50.2
A84041274A59D771 EMAP_322 "2025-01-24 10:10:00" 20.36 50.2
A84041274A59D771 EMAP_322 "2025-01-24 10:15:00" 20.36 50.1
A84041274A59D771 EMAP_322 "2025-01-24 10:20:00" 20.45 50.1
A84041274A59D771 EMAP_322 "2025-01-24 10:25:00" 20.49 50.0
A84041274A59D771 EMAP_322 "2025-01-24 10:30:00" 20.59 50.1
A84041274A59D771 EMAP_322 "2025-01-24 10:35:00" 20.62 49.9
A84041274A59D771 EMAP_322 "2025-01-24 10:40:00" 20.66 49.8
A84041274A59D771 EMAP_322 "2025-01-24 10:45:00" 20.75 49.5
A84041274A59D771 EMAP_322 "2025-01-24 10:50:00" 20.79 49.4
A84041274A59D771 EMAP_322 "2025-01-24 10:55:00" 20.82 49.5
A84041274A59D771 EMAP_322 "2025-01-24 11:00:00" 20.90 49.6
A84041274A59D771 EMAP_322 "2025-01-24 11:05:00" 20.93 49.3
A84041274A59D771 EMAP_322 "2025-01-24 11:10:00" 20.98 49.5
A84041274A59D771 EMAP_322 "2025-01-24 11:15:00" 21.18 50.6
A84041274A59D771 EMAP_322 "2025-01-24 11:20:00" 21.24 49.5
A84041274A59D771 EMAP_322 "2025-01-24 11:25:00" 21.24 48.9
A84041274A59D771 EMAP_322 "2025-01-24 11:30:00" 21.27 48.7
A84041274A59D771 EMAP_322 "2025-01-24 11:35:00" 21.31 48.5
A84041274A59D771 EMAP_322 "2025-01-24 11:40:00" 21.31 48.2
A84041274A59D771 EMAP_322 "2025-01-24 11:45:00" 21.31 48.0
A84041274A59D771 EMAP_322 "2025-01-24 11:50:00" 21.31 47.9
A84041274A59D771 EMAP_322 "2025-01-24 11:55:00" 21.31 47.6
A84041274A59D771 EMAP_322 "2025-01-24 12:00:00" 21.30 47.5
A84041274A59D771 EMAP_322 "2025-01-24 12:05:00" 21.30 47.6
A84041274A59D771 EMAP_322 "2025-01-24 12:10:00" 21.30 47.6
A84041274A59D771 EMAP_322 "2025-01-24 12:15:00" 21.28 47.5
A84041274A59D771 EMAP_322 "2025-01-24 12:20:00" 21.27 47.4
A84041274A59D771 EMAP_322 "2025-01-24 12:25:00" 21.39 48.5
A84041274A59D771 EMAP_322 "2025-01-24 12:30:00" 21.48 48.2
A84041274A59D771 EMAP_322 "2025-01-24 12:35:00" 21.49 48.0
A84041274A59D771 EMAP_322 "2025-01-24 12:40:00" 21.44 47.8
A84041274A59D771 EMAP_322 "2025-01-24 12:45:00" 21.41 47.7
A84041274A59D771 EMAP_322 "2025-01-24 12:50:00" 21.41 47.3
A84041274A59D771 EMAP_322 "2025-01-24 12:55:00" 21.37 47.0
A84041274A59D771 EMAP_322 "2025-01-24 13:00:00" 21.37 46.9
A84041274A59D771 EMAP_322 "2025-01-24 13:05:00" 21.32 47.1
A84041274A59D771 EMAP_322 "2025-01-24 13:10:00" 21.31 46.8
A84041274A59D771 EMAP_322 "2025-01-24 13:15:00" 21.31 46.7
A84041274A59D771 EMAP_322 "2025-01-24 13:20:00" 21.30 46.6
A84041274A59D771 EMAP_322 "2025-01-24 13:25:00" 21.31 46.6
A84041274A59D771 EMAP_322 "2025-01-24 13:30:00" 21.30 46.4
A84041274A59D771 EMAP_322 "2025-01-24 13:35:00" 21.28 46.4
A84041274A59D771 EMAP_322 "2025-01-24 13:40:00" 21.30 46.4
A84041274A59D771 EMAP_322 "2025-01-24 13:45:00" 21.30 46.4
A84041274A59D771 EMAP_322 "2025-01-24 13:50:00" 21.25 46.3
A84041274A59D771 EMAP_322 "2025-01-24 13:55:00" 21.30 46.3
A84041274A59D771 EMAP_322 "2025-01-24 14:00:00" 21.30 46.2
A84041274A59D771 EMAP_322 "2025-01-24 14:05:00" 21.27 46.1
A84041274A59D771 EMAP_322 "2025-01-24 14:10:00" 21.25 46.1
A84041274A59D771 EMAP_322 "2025-01-24 14:15:00" 21.25 46.4
A84041274A59D771 EMAP_322 "2025-01-24 14:20:00" 21.22 46.2
A84041274A59D771 EMAP_322 "2025-01-24 14:25:00" 21.21 46.2
A84041274A59D771 EMAP_322 "2025-01-24 14:30:00" 21.20 46.1
A84041274A59D771 EMAP_322 "2025-01-24 14:35:00" 21.15 46.2
A84041274A59D771 EMAP_322 "2025-01-24 14:40:00" 21.17 46.2
A84041274A59D771 EMAP_322 "2025-01-24 14:45:00" 21.13 46.2
A84041274A59D771 EMAP_322 "2025-01-24 14:50:00" 21.10 46.3
A84041274A59D771 EMAP_322 "2025-01-24 14:55:00" 21.08 46.3
A84041274A59D771 EMAP_322 "2025-01-24 15:00:00" 21.04 46.1
